Version,Graph Name,Threads,Event,Power,Iteration
OVPL,roadNet-PA,48,package-0,387.543,1
OVPL,roadNet-PA,48,dram,40.4499,1
OVPL,roadNet-PA,48,package-1,367.365,1
OVPL,roadNet-PA,48,dram,34.0891,1
MPLM,asia,48,package-0,3388.92,1
MPLM,asia,48,dram,314.436,1
MPLM,asia,48,package-1,3271.31,1
MPLM,asia,48,dram,336.883,1
MPLM,roadNet-PA,48,package-0,312.646,1
MPLM,roadNet-PA,48,dram,34.8997,1
MPLM,roadNet-PA,48,package-1,358.978,1
MPLM,roadNet-PA,48,dram,32.0442,1
OVPL,germany,48,package-0,2977.81,1
OVPL,germany,48,dram,359.404,1
OVPL,germany,48,package-1,2892.92,1
OVPL,germany,48,dram,319.86,1
OVPL,delaunay_n24,48,package-0,3755.32,1
OVPL,delaunay_n24,48,dram,415.837,1
OVPL,delaunay_n24,48,package-1,3762.58,1
OVPL,delaunay_n24,48,dram,483.572,1
MPLM,germany,48,package-0,2969.91,1
MPLM,germany,48,dram,318.253,1
MPLM,germany,48,package-1,3021.22,1
MPLM,germany,48,dram,303.786,1
PLM,uk-2002,48,package-0,7370,1
PLM,uk-2002,48,dram,1249.9,1
PLM,uk-2002,48,package-1,7330.77,1
PLM,uk-2002,48,dram,1256.54,1
PLM,nlpkkt200,48,package-0,13251.5,1
PLM,nlpkkt200,48,dram,1733.08,1
PLM,nlpkkt200,48,package-1,12795.1,1
PLM,nlpkkt200,48,dram,1594.76,1
MPLM,delaunay_n24,48,package-0,11240.5,1
MPLM,delaunay_n24,48,dram,1144.09,1
MPLM,delaunay_n24,48,package-1,10941.4,1
MPLM,delaunay_n24,48,dram,1108.91,1
ONPL,uk-2002,48,package-0,3939.63,1
ONPL,uk-2002,48,dram,426.782,1
ONPL,uk-2002,48,package-1,4130.3,1
ONPL,uk-2002,48,dram,502.224,1
ONPL,nlpkkt200,48,package-0,4560.7,1
ONPL,nlpkkt200,48,dram,545.072,1
ONPL,nlpkkt200,48,package-1,4592.69,1
ONPL,nlpkkt200,48,dram,474.189,1
PLM,europe,48,package-0,29041.9,1
PLM,europe,48,dram,4417.56,1
PLM,europe,48,package-1,27915.6,1
PLM,europe,48,dram,4542.43,1
OVPL,uk-2002,48,package-0,4466.65,1
OVPL,uk-2002,48,dram,668.486,1
OVPL,uk-2002,48,package-1,4340.19,1
OVPL,uk-2002,48,dram,638.928,1
OVPL,nlpkkt200,48,package-0,5912.15,1
OVPL,nlpkkt200,48,dram,644.638,1
OVPL,nlpkkt200,48,package-1,6047.05,1
OVPL,nlpkkt200,48,dram,620.131,1
MPLM,uk-2002,48,package-0,3236.3,1
MPLM,uk-2002,48,dram,382.904,1
MPLM,uk-2002,48,package-1,3581.08,1
MPLM,uk-2002,48,dram,348.657,1
ONPL,europe,48,package-0,9845.49,1
ONPL,europe,48,dram,1155.21,1
ONPL,europe,48,package-1,9469.06,1
ONPL,europe,48,dram,979.435,1
