Version,Graph Name,Threads,Event,Power,Iteration
ONLP,loc-gowalla_edges,36,package-0,5.69505,1
ONLP,loc-gowalla_edges,36,dram,1.30781,1
ONLP,loc-gowalla_edges,36,package-1,10.2895,1
ONLP,loc-gowalla_edges,36,dram,1.37884,1
ONLP,roadNet-PA,36,package-0,12.7996,1
ONLP,roadNet-PA,36,dram,3.55263,1
ONLP,roadNet-PA,36,package-1,31.7344,1
ONLP,roadNet-PA,36,dram,3.5172,1
ONLP,netherlands,36,package-0,38.0208,1
ONLP,netherlands,36,dram,6.99395,1
ONLP,netherlands,36,package-1,50.5298,1
ONLP,netherlands,36,dram,4.82287,1
ONLP,europe,36,package-0,704.881,1
ONLP,europe,36,dram,139.58,1
ONLP,europe,36,package-1,655.22,1
ONLP,europe,36,dram,139.908,1
PLP,uk-2002,36,package-0,486.208,1
PLP,uk-2002,36,dram,39.2306,1
PLP,uk-2002,36,package-1,462.739,1
PLP,uk-2002,36,dram,49.43,1
PLP,nlpkkt200,36,package-0,7645.71,1
PLP,nlpkkt200,36,dram,714.163,1
PLP,nlpkkt200,36,package-1,7184.48,1
PLP,nlpkkt200,36,dram,698.926,1
MPLP,uk-2002,36,package-0,286.765,1
MPLP,uk-2002,36,dram,50.7372,1
MPLP,uk-2002,36,package-1,272.296,1
MPLP,uk-2002,36,dram,44.2403,1
MPLP,nlpkkt200,36,package-0,2795.03,1
MPLP,nlpkkt200,36,dram,314.998,1
MPLP,nlpkkt200,36,package-1,2659.61,1
MPLP,nlpkkt200,36,dram,320.816,1
ONLP,uk-2002,36,package-0,283.967,1
ONLP,uk-2002,36,dram,42.9934,1
ONLP,uk-2002,36,package-1,293.525,1
ONLP,uk-2002,36,dram,57.7285,1
ONLP,nlpkkt200,36,package-0,4085.62,1
ONLP,nlpkkt200,36,dram,470.341,1
ONLP,nlpkkt200,36,package-1,3828.11,1
ONLP,nlpkkt200,36,dram,455.004,1
