Version,Graph Name,Threads,Event,Power,Iteration
PLP,netherlands,36,dram,19.0132,1
MPLP,netherlands,36,package-0,29.7088,1
MPLP,netherlands,36,dram,8.21264,1
MPLP,netherlands,36,package-1,57.924,1
MPLP,netherlands,36,dram,7.27478,1
PLP,roadNet-PA,36,package-0,18.3379,1
PLP,roadNet-PA,36,dram,2.34059,1
PLP,roadNet-PA,36,package-1,20.7682,1
PLP,roadNet-PA,36,dram,2.20846,1
MPLP,roadNet-PA,36,package-0,14.3457,1
MPLP,roadNet-PA,36,dram,3.12451,1
MPLP,roadNet-PA,36,package-1,29.568,1
MPLP,roadNet-PA,36,dram,3.43312,1
PLP,uk-2002,36,package-0,443.084,1
PLP,uk-2002,36,dram,56.3629,1
PLP,uk-2002,36,package-1,410.425,1
PLP,uk-2002,36,dram,40.1968,1
PLP,nlpkkt200,36,package-0,11647,1
PLP,nlpkkt200,36,dram,1025.82,1
PLP,nlpkkt200,36,package-1,11911.3,1
PLP,nlpkkt200,36,dram,1389.96,1
PLP,M6,36,package-0,117.212,1
PLP,M6,36,dram,13.1878,1
PLP,M6,36,package-1,110.671,1
PLP,M6,36,dram,10.9277,1
PLP,AS365,36,package-0,96.9374,1
PLP,AS365,36,dram,10.8251,1
PLP,AS365,36,package-1,90.0435,1
PLP,AS365,36,dram,11.2066,1
PLP,333SP,36,package-0,123.741,1
PLP,333SP,36,dram,13.8342,1
PLP,333SP,36,package-1,108.865,1
PLP,333SP,36,dram,10.6643,1
MPLP,uk-2002,36,package-0,251.221,1
MPLP,uk-2002,36,dram,53.0843,1
MPLP,uk-2002,36,package-1,230.31,1
MPLP,uk-2002,36,dram,44.0978,1
MPLP,M6,36,package-0,75.928,1
MPLP,M6,36,dram,13.8719,1
MPLP,M6,36,package-1,77.0373,1
MPLP,M6,36,dram,9.03933,1
MPLP,AS365,36,package-0,71.1845,1
MPLP,AS365,36,dram,9.8409,1
MPLP,AS365,36,package-1,83.5343,1
MPLP,AS365,36,dram,15.5836,1
MPLP,333SP,36,package-0,80.6802,1
MPLP,333SP,36,dram,14.49,1
MPLP,333SP,36,package-1,89.7276,1
MPLP,333SP,36,dram,10.6906,1
MPLP,nlpkkt200,36,package-0,2428.52,1
MPLP,nlpkkt200,36,dram,286.472,1
MPLP,nlpkkt200,36,package-1,2460.91,1
MPLP,nlpkkt200,36,dram,305.816,1
PLP,Oregon-2,36,package-0,1.82122,1
PLP,Oregon-2,36,dram,0.416772,1
PLP,Oregon-2,36,package-1,3.95183,1
PLP,Oregon-2,36,dram,0.386049,1
PLP,NLR,36,package-0,161.144,1
PLP,NLR,36,dram,19.1531,1
PLP,NLR,36,package-1,143.81,1
PLP,NLR,36,dram,16.0064,1
PLP,NACA0015,36,package-0,28.8697,1
PLP,NACA0015,36,dram,2.58928,1
PLP,NACA0015,36,package-1,26.6115,1
PLP,NACA0015,36,dram,3.43832,1
MPLP,Oregon-2,36,package-0,1.54834,1
MPLP,Oregon-2,36,dram,0.427069,1
MPLP,Oregon-2,36,package-1,4.47191,1
MPLP,Oregon-2,36,dram,0.426916,1
MPLP,NACA0015,36,package-0,31.2934,1
