GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
delaunay_n24,PLP,16777216,50331601,10.1505,360.883,517653,0.809067,25,0,10099,0,0,36,LL,0,0
germany,PLP,11548845,12369181,2.10815,74.5556,255972,0.953992,25,0,2068,0,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.25633,53.5967,515607,0.809481,25,0,1299,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.92567,27.4836,259076,0.953581,25,0,558,0,0,36,LL,0,0
europe,PLP,50912018,54054660,9.09181,322.419,898840,0.961721,25,0,9012,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.289683,9.89518,25926,0.940289,25,0,265,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.306797,6.59563,25864,0.940493,25,0,75,0,0,36,LL,0,0
europe,MPLP,50912018,54054660,8.44391,105.915,908395,0.961334,25,0,2613,0,0,36,LL,0,0
luxembourg,PLP,114599,119666,0.0296924,0.81772,1866,0.965777,25,0,16,0,0,36,LL,0,0
loc-gowalla_edges,PLP,196591,950327,0.0944396,2.81073,557,0.548243,25,0,54,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.565817,17.9846,38634,0.755468,25,0,554,0,0,36,LL,0,0
luxembourg,MPLP,114599,119666,0.0559194,1.07332,1824,0.965857,25,0,18,0,0,36,LL,0,0
loc-gowalla_edges,MPLP,196591,950327,0.104484,1.96612,237,0.497279,25,0,38,0,0,36,LL,0,0
kkt_power,MPLP,2063494,6482320,0.411717,11.2965,38130,0.756956,25,0,175,0,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.375249,12.8455,31880,0.900148,25,0,337,0,0,36,LL,0,0
netherlands,PLP,2216688,2441238,0.61282,21.4379,92706,0.918197,25,0,572,0,0,36,LL,0,0
roadNet-PA,MPLP,1088092,1541898,0.254798,5.25472,31719,0.900275,25,0,46,0,0,36,LL,0,0
netherlands,MPLP,2216688,2441238,0.371439,9.37163,92508,0.918298,25,0,116,0,0,36,LL,0,0
uk-2002,PLP,18520486,261787258,3.49188,123.891,248201,0.960717,25,0,3441,0,0,36,LL,0,0
uk-2002,MPLP,18520486,261787258,3.33406,47.0642,248406,0.960825,25,0,1152,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,1.45131,51.3321,63261,0.856769,25,0,1412,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,75.1377,2679.28,2356645,0.432393,25,0,75097,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.864664,19.9602,63206,0.855956,25,0,379,0,0,36,LL,0,0
M6,PLP,3501776,10501936,0.739049,26.0274,88374,0.816865,25,0,714,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,1.20135,42.4946,94154,0.820784,25,0,1178,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.825979,16.2146,84831,0.820059,25,0,378,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.884088,17.4831,94060,0.820499,25,0,356,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,22.1393,730.68,2599419,0.372523,25,0,20292,0,0,36,LL,0,0
