GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime,Scale,EdgeFactor,a,b,c,d
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.273014,8.40227,58901,0,25,0,145,0,0,48,LL,0,0,2.65e-07,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.276389,8.54263,58901,0,25,0,149,0,0,48,LL,0,0,1.23e-07,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,17.7054,289.336,392950,0.0729199,25,13053.6,16610.6,383.747,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.275501,8.67528,58901,0,25,0,148,0,0,48,LL,0,0,5.3e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.276582,8.71922,58901,0,25,0,147,0,0,48,LL,0,0,6.3e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.276712,8.57857,58901,0,25,0,148,0,0,48,LL,0,0,5.6e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.276223,8.67043,58901,0,25,0,147,0,0,48,LL,0,0,3.5e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.275869,8.69653,58901,0,25,0,148,0,0,48,LL,0,0,6.1e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.274307,8.53444,58901,0,25,0,145,0,0,48,LL,0,0,6.7e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,37.7852,489.862,24032,0.0948236,25,22971.3,35864.3,611.345,0,48,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.272956,8.53374,58901,0,25,0,145,0,0,48,LL,0,0,1.19e-07,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.273416,8.39554,58901,0,25,0,145,0,0,48,LL,0,0,2.9e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,ONLP,1048576,16777216,0.275452,8.6991,58901,0,25,0,148,0,0,48,LL,0,0,3.5e-08,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLM,1048576,16777216,28.1456,329.296,58677,0.113637,25,8838.78,26451.8,514.026,0,48,L1D,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,19.6552,313.731,14030,0.122134,25,13937.7,18571.7,400.45,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,PLM,1048576,33554432,19.9016,217.025,2625,0.0894274,25,18576.4,18615.4,527.313,0,48,L1D,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,23.4351,220.248,295478,0.053291,25,21274,22051,547.327,0,48,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_64-0.570000-0.190000-0.190000-0.050000,PLM,1048576,67108864,41.8235,231.45,209312,0.0414644,25,39448.4,39535.4,927.927,0,48,L1D,0,0,0,20,64,0.57,0.19,0.19,0.05
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,19.4157,336.976,392958,0.0731875,25,13247.3,18233.3,417.494,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,16.6888,261.764,14041,0.125996,25,13540.7,15792.7,347.854,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,17.1277,316.061,392955,0.073009,25,10258.2,15910.2,406.978,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,22.4885,237.42,295498,0.0525543,25,19144.1,21045.1,591.658,0,48,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLM,1048576,16777216,28.7814,334.226,58676,0.112709,25,9689.24,27012.2,557.879,0,48,L1D,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_32-0.400000-0.300000-0.200000-0.100000,PLM,1048576,33554432,22.9582,237.577,2621,0.0897312,25,21419.5,21523.5,616.578,0,48,L1D,0,0,0,20,32,0.4,0.3,0.2,0.1
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,2.87189,104.017,14040,0.12776,25,1751.4,1882.4,364.93,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,2.80665,102.346,14043,0.127858,25,1778.16,1850.16,338.819,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,37.8943,502.298,24031,0.0934825,25,23102.6,35947.6,631.134,0,48,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,2.98587,108.697,14053,0.127898,25,1872.48,2002.48,350.382,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,16777216,2.39779,78.2494,392951,0.0733329,25,1241.08,1360.08,375.35,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,3.07581,113.806,14040,0.128012,25,1985.05,2129.05,349.301,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,16777216,2.94137,97.6274,392967,0.0738314,25,1567.57,1761.57,409.504,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,2.84377,103.514,14032,0.127895,25,1829.27,1893.27,335.164,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,16777216,2.92509,97.9962,392959,0.0741071,25,1608.84,1772.84,420.963,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_64-0.570000-0.190000-0.190000-0.050000,PLM,1048576,67108864,38.2963,208.553,209313,0.0392244,25,36112.2,36194.2,867.757,0,48,L1D,0,0,0,20,64,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,3.01837,110.359,14057,0.125993,25,1832.57,1978.57,360.997,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,16777216,2.7959,75.2263,392957,0.0733603,25,1336.41,1544.41,397.904,0,48,LL,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,ONPL,1048576,16777216,3.00557,110.066,14046,0.125816,25,1824.65,1973.65,353.329,0,48,LL,0,0,0,20,16,0.4,0.3,0.2,0.1
